country,cantidad
Argentina,15
"Argentina, Brazil, France, Poland, Germany, Denmark",1
"Argentina, Chile",2
"Argentina, France",1
"Argentina, France, United States, Germany, Qatar",1
"Argentina, Spain",5
"Argentina, United States",1
"Argentina, Uruguay, Spain, France",1
"Argentina, Venezuela",1
Australia,30
"Australia, France",1
"Australia, New Zealand, United States",1
"Australia, United Arab Emirates",2
"Australia, United Kingdom, Canada",1
"Australia, United Kingdom, United Arab Emirates, Canada",1
"Australia, United States",3
Austria,2
"Austria, Czech Republic",1
"Austria, Germany",1
Bangladesh,3
Belgium,7
"Belgium, France",2
"Belgium, France, Netherlands",1
"Belgium, Netherlands",1
"Belgium, United Kingdom, United States",1
Brazil,25
"Brazil, France",2
"Brazil, France, Germany",1
"Brazil, Netherlands, United States, Colombia, Austria, Germany",1
"Cambodia, United States",1
Cameroon,1
Canada,40
"Canada, Belgium",1
"Canada, Germany, France, United States",1
"Canada, Hungary, United States",1
"Canada, India",2
"Canada, Japan, Netherlands",1
"Canada, Luxembourg",1
"Canada, Mexico, Germany, South Africa",1
"Canada, Nigeria",1
"Canada, Nigeria, United States",1
"Canada, Norway",1
"Canada, South Africa",1
"Canada, Spain",1
"Canada, United States",16
"Canada, United States, Denmark",1
"Canada, United States, United Kingdom",1
Chile,6
"Chile, Argentina",1
"Chile, Argentina, France, Spain, United States",1
"Chile, Brazil",1
"Chile, France",1
"Chile, Italy",1
"Chile, Peru",1
"Chile, Spain, Argentina, Germany",1
"Chile, United States, France",1
China,29
"China, Canada, United States",2
"China, Hong Kong",7
"China, Taiwan",1
"China, United States, Australia",1
Colombia,7
"Colombia, Mexico",1
"Colombia, Mexico, United States",1
Croatia,1
"Croatia, Slovenia, Serbia, Montenegro",1
"Czech Republic, Slovakia",1
"Czech Republic, United Kingdom, United States",1
"Czech Republic, United States",1
Denmark,9
"Denmark, Brazil, France, Portugal, Sweden",1
"Denmark, France, Poland",1
"Denmark, Germany, Belgium, United Kingdom, France",1
"Denmark, Germany, Belgium, United Kingdom, France, Sweden",1
"Denmark, United Kingdom, South Africa, Sweden, Belgium",1
"Denmark, United Kingdom, Sweden",1
"Denmark, United States",1
Egypt,48
"Egypt, Algeria",1
"Egypt, Austria, United States",1
"Egypt, France",2
"Finland, France",1
"Finland, Germany",1
"Finland, Sweden, Norway, Latvia, Germany",1
France,51
"France, Algeria",2
"France, Belgium",13
"France, Belgium, China, United States",1
"France, Belgium, Italy",1
"France, Belgium, Luxembourg, Cambodia,",1
"France, Belgium, Luxembourg, Romania, Canada, United States",1
"France, Belgium, Spain",1
"France, Belgium, United States",1
"France, Brazil, Spain, Belgium",1
"France, Canada",1
"France, Egypt",3
"France, Germany, Czech Republic, Belgium",1
"France, Germany, Switzerland",1
"France, Iran, United States",1
"France, Israel, Germany, United States, United Kingdom",1
"France, Japan, United States",1
"France, Lebanon",1
"France, Lebanon, United Kingdom",1
"France, Luxembourg, United States",1
"France, Malta, United States",1
"France, Morocco",1
"France, Netherlands, Singapore",1
"France, Norway, Lebanon, Belgium",1
"France, Qatar",1
"France, Senegal, Belgium",1
"France, United Kingdom, India",1
"France, United States",3
"France, United States, Mexico",1
"Georgia, Germany, France",1
Germany,28
"Germany, Australia",1
"Germany, Canada, United States",1
"Germany, Czech Republic",2
"Germany, France",1
"Germany, France, Luxembourg, United Kingdom, United States",1
"Germany, Jordan, Netherlands",1
"Germany, United States",6
"Germany, United States, Hong Kong, Singapore",1
"Germany, United States, United Kingdom, Canada",1
Ghana,3
"Ghana, United States",1
Guatemala,1
Hong Kong,17
"Hong Kong, China",5
"Hong Kong, Iceland, United States",1
"Hong Kong, Taiwan",1
"Hong Kong, United States",1
Hungary,3
Iceland,3
"Iceland, Sweden, Belgium",1
India,647
"India, Australia",1
"India, France",5
"India, Germany",1
"India, Germany, Austria",1
"India, Iran",1
"India, Japan",1
"India, Malaysia",1
"India, Nepal",1
"India, Pakistan",1
"India, Soviet Union",2
"India, Switzerland",1
"India, United Kingdom",1
"India, United Kingdom, Canada, United States",1
"India, United Kingdom, France, Qatar",1
"India, United States",7
Indonesia,60
"Indonesia, Netherlands",1
"Indonesia, Singapore",1
"Indonesia, South Korea, Singapore",1
"Indonesia, United Kingdom",1
"Iran, France",1
Ireland,5
"Ireland, Canada, Luxembourg, United States, United Kingdom, Philippines, India",1
"Ireland, Canada, United Kingdom, United States",1
"Ireland, Canada, United States, United Kingdom",1
"Ireland, France, Iceland, United States, Mexico, Belgium, United Kingdom, Hong Kong",1
"Ireland, Luxembourg, Belgium",1
"Ireland, South Africa",1
"Ireland, Switzerland, United Kingdom, France, United States",1
"Ireland, United Kingdom",1
"Ireland, United Kingdom, France, Germany",1
"Ireland, United Kingdom, United States",1
Israel,5
"Israel, Germany",1
"Israel, Germany, France",1
